Notaria 38;;;liquidaciones;;EM1c31s38;29;115;04/04/2026;20/08/2026;;;;;;274;;;;;;;
5464;26101923864271;Leasing;Cundinamarca;;Pendiente;;No;18-08-26;00-01-00;;00-01-00;;;;SE ENVIA CORREO ADQUIRIENTE;;;;;;;
5202;26101923812277;Venta;Cundinamarca;;Pendiente;;No;18-08-26;00-01-00;;00-01-00;;;;SE ENVIA CORREO COMPRADOR;;;;;;;
4690;26101923768244;Venta;Cundinamarca;;Pendiente;;No;18-08-26;00-01-00;;00-01-00;;;;SE ENVIO CORREO COMPRADOR, ADICIONAL E ENVIO CORREO INDICANDO EL VENCIMIENTO DEL TRAMITE;;;;;;;
6148;23101921574830;Venta;Cundinamarca;;Enviado;;Si;18-08-26;18-08-26;00-01-00;00-01-00;202606939;No;;SE ENVIO CORREO DE COBRO COMPRADOR;;;;;;;
6113;26101923943450;Venta;Cundinamarca;;Enviado;;Si;18-08-26;18-08-26;20-08-26;00-01-00;202606908;No;;SE ENVIO CORREO DE COBRO COMPRADOR;;;;;;;
10422;26101923506821;Venta;Cundinamarca;;Pendiente;;No;19-08-26;00-01-00;;00-01-00;;;;SE ENVIO CORREO COMPRADOR, ADICIONAL SE ESTUVO ENVIADO CORREOS INDICANDO VENCIMIENTO DEL TRAMITE, ES DEL AÑO PASADO 2025;;;;;;;
12676;26101923759465;Cancelación;Cundinamarca;liliana@pgaconstructores.co;Pendiente;;No;19-08-26;00-01-00;;00-01-00;;;;SE ENVIA CORREO A PGA, ESPECIFICANDO CUANTO DEBE CANCELAR EL CLIENTE Y CUANTO ELLOS, Y SE LES DA EL APROXIMADO DE INTERESES DIARIOS - ES DEL AÑO PASADO 2025;;;;;;;
12677;26101923758884;Cancelación;Cundinamarca;liliana@pgaconstructores.co;Pendiente;;No;19-08-26;00-01-00;;00-01-00;;;;SE ENVIA CORREO A PGA, ESPECIFICANDO CUANTO DEBE CANCELAR EL CLIENTE Y CUANTO ELLOS, Y SE LES DA EL APROXIMADO DE INTERESES DIARIOS, ES DEL AÑO PASADO 2025;;;;;;;
12679;26101923758818;Cancelación;Cundinamarca;liliana@pgaconstructores.co;Pendiente;;No;19-08-26;00-01-00;;00-01-00;;;;SE ENVIA CORREO A PGA, ESPECIFICANDO CUANTO DEBE CANCELAR EL CLIENTE Y CUANTO ELLOS, Y SE LES DA EL APROXIMADO DE INTERESES DIARIOS - ES DEL AÑO PASADO 2025;;;;;;;
6350;26101923928293;;Boyacá;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
6345;26101923928661;;Atlantico;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
6330;26101923928777;;Atlantico;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
5846;26101923887242;;Boyacá;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
6186;26101923924552;;Cundinamarca;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
5824;26101923924836;;Cundinamarca;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
6299;26101923928807;;Cundinamarca;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
6384;26101923932778;;Cundinamarca;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
5969;26101923936749;;Sucre;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
6303;26101923940720;;Magdalena;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
6403;26101923944691;;Magdalena;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
6125;26101923948662;;Tolima;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
6132;26101923952633;;Tolima;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
6310;26101923956604;;Tolima;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
6287;26101923960575;;Tolima;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
5748;26101923964546;;Tolima;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
